Date,PetrolPump_Name,Location,Product_Type,Quantity,Rate_per_KL ,Total_Amount,PO_Number,PO_Date,Dispatch_Date,Invoice_No.,Payment_Status,Remarks,Stockout_Flag,Dispatch_Time_hrs,Delivered_On_Time,Tank_Temp_C,Tank_Temp_Alert,Sludge_Level_%,Sludge_Alert,Tank_Cleaning_Scheduled
17-05-2025,SpeedWay Fuels,Jabalpur,MS (Petrol),21,74000,1554000,IOCL/JAB/11274,12-05-2025,17-05-2025,INV11274,Paid,Awaiting payment,No,120,No,48.9,No,2.2,No,Not Scheduled
23-05-2025,XYZ Petroleum,Narsinghpur,XP100,30,79000,2370000,IOCL/NAR/11275,19-05-2025,23-05-2025,INV11275,Pending,Awaiting payment,No,96,No,49.8,No,3.7,No,Not Scheduled
25-05-2025,Highway Pumps,Chhindwara,XP95,30,79000,2370000,IOCL/CHH/11276,22-05-2025,25-05-2025,INV11276,Paid,Awaiting payment,No,72,Yes,43.8,No,3.5,No,Not Scheduled
21-05-2025,Highway Pumps,Damoh,MS (Petrol),10,74000,740000,IOCL/DAM/11277,20-05-2025,21-05-2025,INV11277,Paid,Partially delivered,No,24,Yes,45.5,No,6.4,No,Not Scheduled
25-05-2025,SpeedWay Fuels,Sagar,XP95,30,74000,2220000,IOCL/SAG/11278,20-05-2025,25-05-2025,INV11278,Pending,Delivered on time,No,120,No,52.7,No,8.4,Yes,Not Scheduled
07-05-2025,Highway Pumps,Jabalpur,HSD (Diesel),22,81500,1793000,IOCL/JAB/11279,06-05-2025,07-05-2025,INV11279,Pending,Awaiting payment,No,24,Yes,42.9,No,7.9,Yes,Not Scheduled
20-05-2025,SpeedWay Fuels,Mandla,HSD (Diesel),6,81500,489000,IOCL/MAN/11280,15-05-2025,20-05-2025,INV11280,Paid,Awaiting payment,No,120,No,52.4,No,3.4,No,Not Scheduled
20-05-2025,ABC Fuels,Narsinghpur,XP100,9,81500,733500,IOCL/NAR/11281,19-05-2025,20-05-2025,INV11281,Pending,Awaiting payment,No,24,Yes,48.4,No,3.2,No,Not Scheduled
16-05-2025,Highway Pumps,Damoh,HSD (Diesel),29,72500,2102500,IOCL/DAM/11282,14-05-2025,16-05-2025,INV11282,Pending,Awaiting payment,No,48,Yes,51.4,No,9.7,Yes,Not Scheduled
21-05-2025,SpeedWay Fuels,Jabalpur,XP100,24,79000,1896000,IOCL/JAB/11283,17-05-2025,21-05-2025,INV11283,Paid,Partially delivered,Yes,96,No,50.7,No,1.1,No,Not Scheduled
21-05-2025,Bharat Filling Station,Jabalpur,XP100,24,79000,1896000,IOCL/JAB/11284,20-05-2025,21-05-2025,INV11284,Paid,Awaiting payment,No,24,Yes,43.1,No,8.9,Yes,Not Scheduled
11-05-2025,Bharat Filling Station,Narsinghpur,HSD (Diesel),26,81500,2119000,IOCL/NAR/11285,10-05-2025,11-05-2025,INV11285,Paid,Delivered on time,No,24,Yes,48.5,No,2.8,No,Not Scheduled
29-05-2025,Highway Pumps,Jabalpur,HSD (Diesel),14,74000,1036000,IOCL/JAB/11286,27-05-2025,29-05-2025,INV11286,Pending,Delivered on time,No,48,Yes,53,No,9.5,Yes,Not Scheduled
08-05-2025,Bharat Filling Station,Sagar,HSD (Diesel),21,79000,1659000,IOCL/SAG/11287,03-05-2025,08-05-2025,INV11287,Pending,Partially delivered,No,120,No,46.5,No,4.1,No,Not Scheduled
26-05-2025,XYZ Petroleum,Mandla,XP100,9,72500,652500,IOCL/MAN/11288,24-05-2025,26-05-2025,INV11288,Paid,Cancelled due to issue,Yes,48,Yes,54.5,No,5,No,Scheduled
28-05-2025,Highway Pumps,Chhindwara,XP100,11,74000,814000,IOCL/CHH/11289,27-05-2025,28-05-2025,INV11289,Paid,Delivered on time,Yes,24,Yes,46.8,No,7.4,Yes,Scheduled
26-05-2025,XYZ Petroleum,Mandla,XP95,27,74000,1998000,IOCL/MAN/11290,25-05-2025,26-05-2025,INV11290,Pending,Cancelled due to issue,No,24,Yes,42.1,No,6.3,No,Not Scheduled
11-05-2025,Bharat Filling Station,Sagar,XP95,10,72500,725000,IOCL/SAG/11291,06-05-2025,11-05-2025,INV11291,Paid,Delivered on time,No,120,No,45.8,No,3.9,No,Not Scheduled
03-05-2025,SpeedWay Fuels,Chhindwara,XP100,10,72500,725000,IOCL/CHH/11292,01-05-2025,03-05-2025,INV11292,Paid,Delivered on time,No,48,Yes,54.3,No,6,No,Not Scheduled
06-05-2025,SpeedWay Fuels,Sagar,XP100,14,81500,1141000,IOCL/SAG/11293,05-05-2025,06-05-2025,INV11293,Paid,Delivered on time,No,24,Yes,44.8,No,7.6,Yes,Not Scheduled
05-05-2025,ABC Fuels,Seoni,MS (Petrol),7,81500,570500,IOCL/SEO/11294,30-04-2025,05-05-2025,INV11294,Paid,Cancelled due to issue,No,120,No,53,No,1.4,No,Not Scheduled
26-05-2025,SpeedWay Fuels,Jabalpur,MS (Petrol),27,74000,1998000,IOCL/JAB/11295,24-05-2025,26-05-2025,INV11295,Pending,Partially delivered,No,48,Yes,53.2,No,1.1,No,Not Scheduled
17-05-2025,ABC Fuels,Katni,XP95,24,74000,1776000,IOCL/KAT/11296,16-05-2025,17-05-2025,INV11296,Pending,Awaiting payment,No,24,Yes,45.3,No,5.1,No,Not Scheduled
01-05-2025,ABC Fuels,Mandla,XP100,16,74000,1184000,IOCL/MAN/11297,27-04-2025,01-05-2025,INV11297,Paid,Cancelled due to issue,No,96,No,41.2,No,2.2,No,Not Scheduled
03-05-2025,ABC Fuels,Katni,XP95,12,72500,870000,IOCL/KAT/11298,02-05-2025,03-05-2025,INV11298,Paid,Delivered on time,No,24,Yes,50.9,No,7,No,Not Scheduled
15-05-2025,SpeedWay Fuels,Narsinghpur,HSD (Diesel),12,81500,978000,IOCL/NAR/11299,13-05-2025,15-05-2025,INV11299,Paid,Awaiting payment,No,48,Yes,44.7,No,2.9,No,Not Scheduled
18-05-2025,ABC Fuels,Jabalpur,MS (Petrol),26,81500,2119000,IOCL/JAB/11300,17-05-2025,18-05-2025,INV11300,Paid,Delivered on time,Yes,24,Yes,51.7,No,4.9,No,Not Scheduled
28-05-2025,Bharat Filling Station,Katni,XP95,5,72500,362500,IOCL/KAT/11301,25-05-2025,28-05-2025,INV11301,Pending,Cancelled due to issue,No,72,Yes,46.6,No,2.8,No,Not Scheduled
03-05-2025,Highway Pumps,Seoni,HSD (Diesel),19,81500,1548500,IOCL/SEO/11302,01-05-2025,03-05-2025,INV11302,Pending,Awaiting payment,Yes,48,Yes,47.3,No,5.9,No,Not Scheduled
02-05-2025,SpeedWay Fuels,Mandla,HSD (Diesel),27,72500,1957500,IOCL/MAN/11303,28-04-2025,02-05-2025,INV11303,Paid,Partially delivered,No,96,No,51.7,No,2,No,Not Scheduled
08-05-2025,XYZ Petroleum,Seoni,XP95,5,72500,362500,IOCL/SEO/11304,04-05-2025,08-05-2025,INV11304,Paid,Cancelled due to issue,No,96,No,45.7,No,1.2,No,Not Scheduled
05-05-2025,ABC Fuels,Damoh,HSD (Diesel),14,79000,1106000,IOCL/DAM/11305,01-05-2025,05-05-2025,INV11305,Paid,Cancelled due to issue,No,96,No,46.6,No,1.5,No,Not Scheduled
08-05-2025,SpeedWay Fuels,Jabalpur,HSD (Diesel),30,79000,2370000,IOCL/JAB/11306,07-05-2025,08-05-2025,INV11306,Paid,Awaiting payment,No,24,Yes,45.6,No,9.6,Yes,Not Scheduled
22-05-2025,ABC Fuels,Narsinghpur,XP100,19,74000,1406000,IOCL/NAR/11307,21-05-2025,22-05-2025,INV11307,Paid,Partially delivered,No,24,Yes,45.5,No,2.3,No,Scheduled
01-05-2025,SpeedWay Fuels,Chhindwara,HSD (Diesel),25,74000,1850000,IOCL/CHH/11308,28-04-2025,01-05-2025,INV11308,Pending,Cancelled due to issue,No,72,Yes,47.9,No,7.4,Yes,Not Scheduled
11-05-2025,XYZ Petroleum,Seoni,HSD (Diesel),12,81500,978000,IOCL/SEO/11309,09-05-2025,11-05-2025,INV11309,Pending,Cancelled due to issue,No,48,Yes,52.1,No,1.6,No,Not Scheduled
09-05-2025,XYZ Petroleum,Seoni,HSD (Diesel),23,79000,1817000,IOCL/SEO/11310,04-05-2025,09-05-2025,INV11310,Paid,Delivered on time,No,120,No,45.4,No,2,No,Not Scheduled
01-05-2025,ABC Fuels,Mandla,XP100,9,81500,733500,IOCL/MAN/11311,27-04-2025,01-05-2025,INV11311,Pending,Delivered on time,No,96,No,47.9,No,5.6,No,Not Scheduled
03-05-2025,Highway Pumps,Mandla,MS (Petrol),25,72500,1812500,IOCL/MAN/11312,30-04-2025,03-05-2025,INV11312,Pending,Partially delivered,No,72,Yes,50.1,No,5.2,No,Scheduled
01-05-2025,XYZ Petroleum,Jabalpur,XP95,29,79000,2291000,IOCL/JAB/11313,28-04-2025,01-05-2025,INV11313,Pending,Cancelled due to issue,No,72,Yes,44,No,9.6,Yes,Not Scheduled
28-05-2025,XYZ Petroleum,Mandla,HSD (Diesel),8,72500,580000,IOCL/MAN/11314,23-05-2025,28-05-2025,INV11314,Paid,Awaiting payment,No,120,No,44.2,No,9.5,Yes,Not Scheduled
07-05-2025,ABC Fuels,Narsinghpur,HSD (Diesel),17,79000,1343000,IOCL/NAR/11315,06-05-2025,07-05-2025,INV11315,Paid,Cancelled due to issue,No,24,Yes,54,No,8,Yes,Not Scheduled
24-05-2025,Bharat Filling Station,Jabalpur,HSD (Diesel),20,79000,1580000,IOCL/JAB/11316,23-05-2025,24-05-2025,INV11316,Pending,Partially delivered,No,24,Yes,50.9,No,6.4,No,Not Scheduled
04-05-2025,Highway Pumps,Narsinghpur,XP100,20,79000,1580000,IOCL/NAR/11317,03-05-2025,04-05-2025,INV11317,Pending,Cancelled due to issue,No,24,Yes,48.7,No,5.1,No,Not Scheduled
04-05-2025,XYZ Petroleum,Sagar,MS (Petrol),26,79000,2054000,IOCL/SAG/11318,02-05-2025,04-05-2025,INV11318,Pending,Partially delivered,No,48,Yes,49.7,No,4.2,No,Not Scheduled
14-05-2025,XYZ Petroleum,Chhindwara,HSD (Diesel),9,72500,652500,IOCL/CHH/11319,11-05-2025,14-05-2025,INV11319,Pending,Delivered on time,Yes,72,Yes,40.4,No,9.5,Yes,Not Scheduled
29-05-2025,XYZ Petroleum,Jabalpur,XP100,30,79000,2370000,IOCL/JAB/11320,27-05-2025,29-05-2025,INV11320,Pending,Cancelled due to issue,No,48,Yes,49.3,No,6.4,No,Not Scheduled
13-05-2025,ABC Fuels,Mandla,XP95,14,74000,1036000,IOCL/MAN/11321,09-05-2025,13-05-2025,INV11321,Paid,Cancelled due to issue,No,96,No,47.6,No,6.2,No,Not Scheduled
31-05-2025,SpeedWay Fuels,Mandla,MS (Petrol),7,79000,553000,IOCL/MAN/11322,28-05-2025,31-05-2025,INV11322,Pending,Partially delivered,No,72,Yes,48.2,No,3.1,No,Not Scheduled
01-05-2025,ABC Fuels,Jabalpur,MS (Petrol),25,72500,1812500,IOCL/JAB/11323,27-04-2025,01-05-2025,INV11323,Pending,Partially delivered,No,96,No,45.4,No,1.4,No,Not Scheduled
16-05-2025,SpeedWay Fuels,Seoni,XP100,13,74000,962000,IOCL/SEO/11324,12-05-2025,16-05-2025,INV11324,Paid,Partially delivered,No,96,No,41.2,No,9.5,Yes,Not Scheduled
07-05-2025,ABC Fuels,Sagar,HSD (Diesel),30,72500,2175000,IOCL/SAG/11325,02-05-2025,07-05-2025,INV11325,Paid,Partially delivered,No,120,No,42.9,No,3.8,No,Not Scheduled
11-05-2025,Bharat Filling Station,Jabalpur,HSD (Diesel),13,81500,1059500,IOCL/JAB/11326,08-05-2025,11-05-2025,INV11326,Pending,Delivered on time,No,72,Yes,54.3,No,5,No,Not Scheduled
05-05-2025,Highway Pumps,Seoni,HSD (Diesel),19,79000,1501000,IOCL/SEO/11327,04-05-2025,05-05-2025,INV11327,Pending,Delivered on time,No,24,Yes,46.1,No,2,No,Scheduled
26-05-2025,ABC Fuels,Sagar,MS (Petrol),10,79000,790000,IOCL/SAG/11328,24-05-2025,26-05-2025,INV11328,Pending,Partially delivered,No,48,Yes,47,No,8.5,Yes,Not Scheduled
30-05-2025,ABC Fuels,Seoni,MS (Petrol),13,72500,942500,IOCL/SEO/11329,26-05-2025,30-05-2025,INV11329,Pending,Awaiting payment,No,96,No,40.8,No,1.2,No,Not Scheduled
06-05-2025,Bharat Filling Station,Jabalpur,XP95,14,72500,1015000,IOCL/JAB/11330,02-05-2025,06-05-2025,INV11330,Pending,Partially delivered,No,96,No,40.6,No,8.5,Yes,Not Scheduled
22-05-2025,ABC Fuels,Jabalpur,XP100,12,81500,978000,IOCL/JAB/11331,17-05-2025,22-05-2025,INV11331,Paid,Partially delivered,No,120,No,50.8,No,2.3,No,Not Scheduled
25-05-2025,Bharat Filling Station,Mandla,MS (Petrol),22,72500,1595000,IOCL/MAN/11332,21-05-2025,25-05-2025,INV11332,Paid,Awaiting payment,No,96,No,48.1,No,9,Yes,Not Scheduled
07-05-2025,Bharat Filling Station,Sagar,HSD (Diesel),5,74000,370000,IOCL/SAG/11333,02-05-2025,07-05-2025,INV11333,Pending,Partially delivered,No,120,No,47.6,No,7.6,Yes,Not Scheduled
14-05-2025,XYZ Petroleum,Katni,HSD (Diesel),30,81500,2445000,IOCL/KAT/11334,11-05-2025,14-05-2025,INV11334,Pending,Partially delivered,No,72,Yes,43.6,No,2.5,No,Not Scheduled
24-05-2025,Highway Pumps,Sagar,XP100,13,81500,1059500,IOCL/SAG/11335,19-05-2025,24-05-2025,INV11335,Pending,Cancelled due to issue,No,120,No,51.2,No,6.1,No,Not Scheduled
06-05-2025,ABC Fuels,Damoh,XP95,16,72500,1160000,IOCL/DAM/11336,05-05-2025,06-05-2025,INV11336,Pending,Awaiting payment,No,24,Yes,42.5,No,3.8,No,Not Scheduled
26-05-2025,SpeedWay Fuels,Narsinghpur,XP100,5,74000,370000,IOCL/NAR/11337,21-05-2025,26-05-2025,INV11337,Pending,Delivered on time,No,120,No,42.8,No,2.6,No,Not Scheduled
01-05-2025,Bharat Filling Station,Narsinghpur,XP95,25,79000,1975000,IOCL/NAR/11338,30-04-2025,01-05-2025,INV11338,Pending,Awaiting payment,Yes,24,Yes,46.9,No,8.7,Yes,Not Scheduled
17-05-2025,SpeedWay Fuels,Narsinghpur,XP95,9,72500,652500,IOCL/NAR/11339,15-05-2025,17-05-2025,INV11339,Paid,Cancelled due to issue,Yes,48,Yes,44.3,No,4.6,No,Not Scheduled
11-05-2025,Bharat Filling Station,Katni,HSD (Diesel),23,72500,1667500,IOCL/KAT/11340,08-05-2025,11-05-2025,INV11340,Paid,Awaiting payment,No,72,Yes,43.7,No,4.6,No,Scheduled
26-05-2025,SpeedWay Fuels,Jabalpur,MS (Petrol),5,81500,407500,IOCL/JAB/11341,22-05-2025,26-05-2025,INV11341,Paid,Delivered on time,No,96,No,49.7,No,2.5,No,Not Scheduled
24-05-2025,ABC Fuels,Seoni,MS (Petrol),22,79000,1738000,IOCL/SEO/11342,23-05-2025,24-05-2025,INV11342,Paid,Cancelled due to issue,No,24,Yes,49.8,No,4.4,No,Not Scheduled
21-05-2025,Highway Pumps,Chhindwara,XP100,23,74000,1702000,IOCL/CHH/11343,20-05-2025,21-05-2025,INV11343,Paid,Delivered on time,No,24,Yes,52.4,No,8.8,Yes,Not Scheduled
11-05-2025,Highway Pumps,Jabalpur,HSD (Diesel),23,81500,1874500,IOCL/JAB/11344,10-05-2025,11-05-2025,INV11344,Pending,Cancelled due to issue,No,24,Yes,46.3,No,4.3,No,Not Scheduled
10-05-2025,SpeedWay Fuels,Mandla,XP95,5,81500,407500,IOCL/MAN/11345,05-05-2025,10-05-2025,INV11345,Paid,Partially delivered,No,120,No,41.1,No,9.6,Yes,Not Scheduled
08-05-2025,Highway Pumps,Chhindwara,XP100,11,79000,869000,IOCL/CHH/11346,06-05-2025,08-05-2025,INV11346,Paid,Partially delivered,No,48,Yes,44.1,No,9.5,Yes,Not Scheduled
24-05-2025,Highway Pumps,Damoh,XP100,18,79000,1422000,IOCL/DAM/11347,19-05-2025,24-05-2025,INV11347,Pending,Awaiting payment,No,120,No,54.7,No,2.3,No,Scheduled
19-05-2025,XYZ Petroleum,Sagar,XP100,12,74000,888000,IOCL/SAG/11348,15-05-2025,19-05-2025,INV11348,Paid,Awaiting payment,No,96,No,48.9,No,2.6,No,Not Scheduled
31-05-2025,XYZ Petroleum,Mandla,XP100,29,72500,2102500,IOCL/MAN/11349,29-05-2025,31-05-2025,INV11349,Paid,Delivered on time,Yes,48,Yes,50.6,No,8.8,Yes,Scheduled
11-05-2025,Highway Pumps,Sagar,XP95,26,72500,1885000,IOCL/SAG/11350,08-05-2025,11-05-2025,INV11350,Paid,Awaiting payment,No,72,Yes,40.1,No,4.5,No,Scheduled
10-05-2025,ABC Fuels,Seoni,XP100,17,74000,1258000,IOCL/SEO/11351,08-05-2025,10-05-2025,INV11351,Pending,Cancelled due to issue,No,48,Yes,47.8,No,1,No,Not Scheduled
26-05-2025,Highway Pumps,Katni,HSD (Diesel),16,72500,1160000,IOCL/KAT/11352,21-05-2025,26-05-2025,INV11352,Paid,Cancelled due to issue,No,120,No,40.6,No,3.5,No,Scheduled
26-05-2025,XYZ Petroleum,Jabalpur,XP95,10,74000,740000,IOCL/JAB/11353,22-05-2025,26-05-2025,INV11353,Paid,Cancelled due to issue,No,96,No,48.5,No,6.4,No,Not Scheduled
09-05-2025,Highway Pumps,Seoni,MS (Petrol),22,72500,1595000,IOCL/SEO/11354,08-05-2025,09-05-2025,INV11354,Paid,Delivered on time,No,24,Yes,53.8,No,8.2,Yes,Not Scheduled
17-05-2025,XYZ Petroleum,Mandla,XP95,7,74000,518000,IOCL/MAN/11355,14-05-2025,17-05-2025,INV11355,Pending,Delivered on time,No,72,Yes,54.5,No,2.2,No,Not Scheduled
26-05-2025,Bharat Filling Station,Sagar,MS (Petrol),18,72500,1305000,IOCL/SAG/11356,25-05-2025,26-05-2025,INV11356,Paid,Partially delivered,No,24,Yes,48.1,No,2,No,Scheduled
15-05-2025,XYZ Petroleum,Sagar,HSD (Diesel),19,74000,1406000,IOCL/SAG/11357,12-05-2025,15-05-2025,INV11357,Pending,Cancelled due to issue,No,72,Yes,46.9,No,9.3,Yes,Not Scheduled
29-05-2025,SpeedWay Fuels,Seoni,XP95,8,79000,632000,IOCL/SEO/11358,26-05-2025,29-05-2025,INV11358,Pending,Cancelled due to issue,No,72,Yes,54.2,No,7.8,Yes,Not Scheduled
28-05-2025,Highway Pumps,Mandla,MS (Petrol),7,72500,507500,IOCL/MAN/11359,24-05-2025,28-05-2025,INV11359,Pending,Awaiting payment,No,96,No,50.1,No,6.3,No,Not Scheduled
13-05-2025,XYZ Petroleum,Sagar,XP100,25,72500,1812500,IOCL/SAG/11360,12-05-2025,13-05-2025,INV11360,Pending,Awaiting payment,No,24,Yes,41,No,7.9,Yes,Not Scheduled
18-05-2025,ABC Fuels,Seoni,HSD (Diesel),14,79000,1106000,IOCL/SEO/11361,14-05-2025,18-05-2025,INV11361,Paid,Cancelled due to issue,No,96,No,47,No,4.9,No,Not Scheduled
12-05-2025,ABC Fuels,Sagar,HSD (Diesel),26,79000,2054000,IOCL/SAG/11362,11-05-2025,12-05-2025,INV11362,Paid,Awaiting payment,No,24,Yes,43.6,No,7.8,Yes,Not Scheduled
10-05-2025,Highway Pumps,Mandla,MS (Petrol),22,74000,1628000,IOCL/MAN/11363,06-05-2025,10-05-2025,INV11363,Paid,Cancelled due to issue,No,96,No,47,No,4.3,No,Not Scheduled
07-05-2025,Highway Pumps,Mandla,HSD (Diesel),30,81500,2445000,IOCL/MAN/11364,05-05-2025,07-05-2025,INV11364,Pending,Awaiting payment,No,48,Yes,46.8,No,3.2,No,Scheduled
03-05-2025,Bharat Filling Station,Mandla,MS (Petrol),27,72500,1957500,IOCL/MAN/11365,28-04-2025,03-05-2025,INV11365,Paid,Awaiting payment,No,120,No,48.7,No,7.6,Yes,Not Scheduled
15-05-2025,XYZ Petroleum,Narsinghpur,MS (Petrol),21,72500,1522500,IOCL/NAR/11366,12-05-2025,15-05-2025,INV11366,Pending,Delivered on time,No,72,Yes,45.4,No,4.8,No,Not Scheduled
21-05-2025,ABC Fuels,Seoni,MS (Petrol),13,72500,942500,IOCL/SEO/11367,20-05-2025,21-05-2025,INV11367,Pending,Partially delivered,No,24,Yes,42.5,No,9.8,Yes,Not Scheduled
16-05-2025,SpeedWay Fuels,Sagar,MS (Petrol),28,81500,2282000,IOCL/SAG/11368,14-05-2025,16-05-2025,INV11368,Pending,Delivered on time,No,48,Yes,47.6,No,4.1,No,Not Scheduled
07-05-2025,Highway Pumps,Seoni,MS (Petrol),27,74000,1998000,IOCL/SEO/11369,03-05-2025,07-05-2025,INV11369,Paid,Delivered on time,No,96,No,52.5,No,9.3,Yes,Scheduled
12-05-2025,XYZ Petroleum,Damoh,MS (Petrol),16,74000,1184000,IOCL/DAM/11370,11-05-2025,12-05-2025,INV11370,Paid,Delivered on time,No,24,Yes,50,No,9.4,Yes,Not Scheduled
07-05-2025,Highway Pumps,Sagar,HSD (Diesel),18,72500,1305000,IOCL/SAG/11371,05-05-2025,07-05-2025,INV11371,Paid,Partially delivered,No,48,Yes,45.1,No,3.2,No,Not Scheduled
03-05-2025,Bharat Filling Station,Chhindwara,XP100,17,72500,1232500,IOCL/CHH/11372,01-05-2025,03-05-2025,INV11372,Pending,Partially delivered,No,48,Yes,54,No,8.2,Yes,Not Scheduled
20-05-2025,Highway Pumps,Jabalpur,MS (Petrol),18,79000,1422000,IOCL/JAB/11373,15-05-2025,20-05-2025,INV11373,Paid,Delivered on time,No,120,No,53.7,No,4.9,No,Not Scheduled
11-05-2025,XYZ Petroleum,Jabalpur,HSD (Diesel),18,81500,1467000,IOCL/JAB/11374,06-05-2025,11-05-2025,INV11374,Paid,Awaiting payment,No,120,No,43.1,No,9.3,Yes,Scheduled
17-05-2025,Highway Pumps,Seoni,MS (Petrol),24,79000,1896000,IOCL/SEO/11375,12-05-2025,17-05-2025,INV11375,Paid,Delivered on time,No,120,No,40.6,No,5.1,No,Not Scheduled
25-05-2025,XYZ Petroleum,Narsinghpur,XP100,25,72500,1812500,IOCL/NAR/11376,22-05-2025,25-05-2025,INV11376,Pending,Partially delivered,No,72,Yes,51.1,No,7.7,Yes,Not Scheduled
08-05-2025,XYZ Petroleum,Damoh,XP100,23,74000,1702000,IOCL/DAM/11377,06-05-2025,08-05-2025,INV11377,Paid,Delivered on time,No,48,Yes,52.4,No,5.2,No,Not Scheduled
15-05-2025,SpeedWay Fuels,Narsinghpur,XP100,8,72500,580000,IOCL/NAR/11378,12-05-2025,15-05-2025,INV11378,Pending,Awaiting payment,No,72,Yes,54.5,No,3.1,No,Not Scheduled
08-05-2025,Highway Pumps,Jabalpur,XP100,22,72500,1595000,IOCL/JAB/11379,07-05-2025,08-05-2025,INV11379,Pending,Cancelled due to issue,No,24,Yes,53.3,No,2.8,No,Not Scheduled
16-05-2025,ABC Fuels,Jabalpur,XP95,27,72500,1957500,IOCL/JAB/11380,14-05-2025,16-05-2025,INV11380,Paid,Partially delivered,No,48,Yes,49,No,4.8,No,Scheduled
10-05-2025,ABC Fuels,Chhindwara,MS (Petrol),6,74000,444000,IOCL/CHH/11381,06-05-2025,10-05-2025,INV11381,Paid,Partially delivered,No,96,No,48,No,7.8,Yes,Not Scheduled
18-05-2025,SpeedWay Fuels,Chhindwara,XP95,17,74000,1258000,IOCL/CHH/11382,16-05-2025,18-05-2025,INV11382,Pending,Cancelled due to issue,No,48,Yes,40.4,No,6.4,No,Not Scheduled
23-05-2025,Highway Pumps,Katni,MS (Petrol),30,74000,2220000,IOCL/KAT/11383,19-05-2025,23-05-2025,INV11383,Pending,Cancelled due to issue,No,96,No,43.7,No,7.2,Yes,Not Scheduled
01-05-2025,XYZ Petroleum,Sagar,XP95,25,72500,1812500,IOCL/SAG/11384,29-04-2025,01-05-2025,INV11384,Pending,Delivered on time,No,48,Yes,46.9,No,3.5,No,Not Scheduled
14-05-2025,Highway Pumps,Damoh,XP95,7,81500,570500,IOCL/DAM/11385,09-05-2025,14-05-2025,INV11385,Pending,Awaiting payment,No,120,No,49.4,No,5.3,No,Not Scheduled
31-05-2025,Highway Pumps,Sagar,MS (Petrol),26,74000,1924000,IOCL/SAG/11386,27-05-2025,31-05-2025,INV11386,Pending,Cancelled due to issue,No,96,No,48.4,No,1.4,No,Scheduled
25-05-2025,Bharat Filling Station,Katni,XP95,16,74000,1184000,IOCL/KAT/11387,22-05-2025,25-05-2025,INV11387,Pending,Cancelled due to issue,No,72,Yes,51.1,No,8.4,Yes,Not Scheduled
16-05-2025,Bharat Filling Station,Chhindwara,XP95,23,74000,1702000,IOCL/CHH/11388,11-05-2025,16-05-2025,INV11388,Pending,Partially delivered,No,120,No,44.2,No,9.9,Yes,Not Scheduled
17-05-2025,Highway Pumps,Seoni,HSD (Diesel),22,74000,1628000,IOCL/SEO/11389,13-05-2025,17-05-2025,INV11389,Pending,Partially delivered,No,96,No,48.5,No,4.7,No,Scheduled
18-05-2025,XYZ Petroleum,Narsinghpur,XP100,6,79000,474000,IOCL/NAR/11390,16-05-2025,18-05-2025,INV11390,Pending,Partially delivered,No,48,Yes,41.3,No,1.1,No,Not Scheduled
11-05-2025,XYZ Petroleum,Jabalpur,XP95,17,81500,1385500,IOCL/JAB/11391,10-05-2025,11-05-2025,INV11391,Paid,Delivered on time,Yes,24,Yes,46.2,No,2.5,No,Not Scheduled
16-05-2025,Bharat Filling Station,Narsinghpur,XP95,30,72500,2175000,IOCL/NAR/11392,12-05-2025,16-05-2025,INV11392,Paid,Delivered on time,No,96,No,51.3,No,6.9,No,Not Scheduled
31-05-2025,Highway Pumps,Seoni,XP100,11,74000,814000,IOCL/SEO/11393,26-05-2025,31-05-2025,INV11393,Pending,Delivered on time,No,120,No,50.4,No,6.5,No,Not Scheduled
08-05-2025,SpeedWay Fuels,Jabalpur,MS (Petrol),20,79000,1580000,IOCL/JAB/11394,07-05-2025,08-05-2025,INV11394,Paid,Cancelled due to issue,No,24,Yes,54.9,No,8.1,Yes,Not Scheduled
20-05-2025,Bharat Filling Station,Jabalpur,XP100,15,79000,1185000,IOCL/JAB/11395,19-05-2025,20-05-2025,INV11395,Paid,Cancelled due to issue,No,24,Yes,44.2,No,3.3,No,Not Scheduled
25-05-2025,Bharat Filling Station,Katni,XP100,5,81500,407500,IOCL/KAT/11396,20-05-2025,25-05-2025,INV11396,Paid,Awaiting payment,No,120,No,47.5,No,7.9,Yes,Not Scheduled
22-05-2025,XYZ Petroleum,Katni,MS (Petrol),24,79000,1896000,IOCL/KAT/11397,21-05-2025,22-05-2025,INV11397,Paid,Cancelled due to issue,No,24,Yes,44.9,No,7.2,Yes,Not Scheduled
26-05-2025,Bharat Filling Station,Damoh,XP95,10,79000,790000,IOCL/DAM/11398,25-05-2025,26-05-2025,INV11398,Paid,Cancelled due to issue,No,24,Yes,46.6,No,3.9,No,Scheduled
12-05-2025,SpeedWay Fuels,Chhindwara,XP95,15,81500,1222500,IOCL/CHH/11399,09-05-2025,12-05-2025,INV11399,Pending,Awaiting payment,No,72,Yes,52.9,No,5.9,No,Not Scheduled
21-05-2025,Bharat Filling Station,Narsinghpur,HSD (Diesel),5,81500,407500,IOCL/NAR/11400,20-05-2025,21-05-2025,INV11400,Pending,Cancelled due to issue,No,24,Yes,50.3,No,2.3,No,Not Scheduled
02-05-2025,SpeedWay Fuels,Damoh,XP100,11,79000,869000,IOCL/DAM/11401,01-05-2025,02-05-2025,INV11401,Paid,Cancelled due to issue,No,24,Yes,53.2,No,5.1,No,Not Scheduled
